,repo_id,repo_owner,repo_name
0,17644553,cBioPortal,cbioportal
1,21426700,gatsbyjs,gatsby
2,9678863,facebook,jest
3,8691751,akkadotnet,akka.net
4,1996840,Leaflet,Leaflet
5,29986857,aframevr,aframe
6,13387308,DotNetAnalyzers,StyleCopAnalyzers
7,174642,Sylius,Sylius
8,137670196,osquery,osquery
9,6191162,Mihara,RasterPropMonitor
10,9793,sympy,sympy
11,17302594,elastic,elasticsearch
12,5927491,strongbox,strongbox
13,4560965,moment,moment
14,14879820,tomato42,tlsfuzzer
15,33685085,prestodb,presto
16,5219,scikit-learn,scikit-learn
17,13708387,stylelint,stylelint
18,7228519,badges,shields
19,1127,duckduckgo,zeroclickinfo-spice
20,6422123,mozilla,fxa-content-server
21,39250028,RaRe-Technologies,gensim
22,26424942,netlify,netlify-cms
23,35509363,Swati4star,Images-to-PDF
24,29662323,serverless,serverless
25,1142,saltstack,salt
26,634,symfony,symfony
27,4747,SimpleMachines,SMF2.1
28,15022227,dotnet,roslyn
29,417939,gitextensions,gitextensions
30,621717,Revolutionary-Games,Thrive
31,6806,composer,composer
32,28947096,dotnet,corert
33,6148250,Octokit,octokit.net
34,3227,Elgg,Elgg
35,19911836,borgbackup,borg
36,4025499,nilearn,nilearn
37,26047131,zulip,zulip
38,22103199,oppia,oppia
39,49205409,Zeit,next.js
40,23203,magento,magento2
41,3905191,facebook,react
42,83153576,facebook,Docusaurus
43,14477484,FreeCodeCamp,freecodecamp
44,48109228,yarnpkg,yarn
45,71363,internetarchive,openlibrary
46,20078281,nodejs,node
47,17296591,elastic,kibana
48,38091986,nextcloud,server
49,137636057,aws,aws-cdk
50,97223912,dotnet,machinelearning
51,80896235,mui-org,material-ui
52,52574962,WeblateOrg,weblate
53,137644799,dotnet,runtime
54,5350143,sendgrid,docs
55,35819264,xamarin,Xamarin.Forms
56,21119235,rubberduck-vba,Rubberduck
57,2831,AnalyticalGraphicsInc,cesium
58,3928853,CleverRaven,Cataclysm-DDA
59,15889688,dotnet,coreclr
60,3497246,JabRef,jabref
61,7358769,appleseedhq,appleseed
62,18089783,x64dbg,x64dbg
63,54076,OpenRA,OpenRA
64,12197181,Trustroots,trustroots
65,37434686,Submitty,Submitty
66,33035069,eclipse,omr
67,6036293,osmlab,name-suggestion-index
68,10070,symfony,symfony-docs
69,71744345,OpenMined,PySyft
70,112259933,Showndarya,Hacktoberfest
71,864,bitcoin,bitcoin
72,10941284,Microsoft,TypeScript
73,17991525,facebook,react-native
74,24444,phpmyadmin,phpmyadmin
75,28947324,Microsoft,vscode
76,5559677,MvvmCross,MvvmCross
77,44237699,jainaman224,Algo_Ds_Notes
78,42282883,qTox,qTox
79,392,adobe,brackets
80,916,FreezingMoon,AncientBeast
81,5768596,TryGhost,Ghost
82,79673752,elastic,eui
83,7332776,eslint,eslint
84,5215147,checkstyle,checkstyle
85,48212908,pandas-dev,pandas
86,48219054,jupyterlab,jupyterlab
87,21483441,OpenRCT2,OpenRCT2
88,14623155,chocolatey,choco
89,6278588,pypa,warehouse
90,8127,matplotlib,matplotlib
91,101482442,PnP,office365-cli
92,56499151,WordPress,gutenberg
93,4804053,Yoast,wordpress-seo
94,43788254,powershell,PowerShell
95,102719970,QISKit,qiskit-terra
96,19428,mne-tools,mne-python
97,32223728,sindresorhus,refined-github
